snapshot,redshift,subhalo_index,subhalo_mass_Msun,n_bh
18,7.005417045544533,0,65880458405.30271,58
19,6.0107573988449,0,139468256012.76065,70
19,6.0107573988449,160,95196119563.96794,67
19,6.0107573988449,198,80292321012.03807,52
19,6.0107573988449,350,65816056163.214874,52
20,4.995933468164624,0,244987847234.24115,107
20,4.995933468164624,164,335492990584.1981,102
20,4.995933468164624,437,141989499915.91553,76
20,4.995933468164624,384,143654113012.33835,66
20,4.995933468164624,577,110068467004.5622,59
20,4.995933468164624,1,114550532063.67587,55
20,4.995933468164624,539,108970424622.24007,55
20,4.995933468164624,794,86175319698.11008,55
20,4.995933468164624,610,102726097315.387,52
21,4.0079451114652676,236,600349292183.2886,165
21,4.0079451114652676,0,579578544448.8097,151
21,4.0079451114652676,566,310789487717.89844,87
21,4.0079451114652676,799,172139777511.8468,83
21,4.0079451114652676,460,292900749119.78125,81
21,4.0079451114652676,855,177945585057.89423,66
21,4.0079451114652676,1196,127292802636.30049,60
21,4.0079451114652676,1864,100104964795.30768,59
21,4.0079451114652676,1022,151118604000.58902,56
22,3.008131071630377,335,1192817242912.0974,269
22,3.008131071630377,0,1065637005113.1433,258
22,3.008131071630377,642,827097579376.8922,199
22,3.008131071630377,1478,481365160476.5786,113
22,3.008131071630377,1029,518326483982.70197,103
22,3.008131071630377,1803,316344855402.4776,85
22,3.008131071630377,1252,353602915143.9878,76
22,3.008131071630377,1905,335303664189.8526,74
22,3.008131071630377,833,606984194968.3738,73
22,3.008131071630377,2195,288880443558.9133,67
22,3.008131071630377,2109,336504271280.07715,63
22,3.008131071630377,2742,197947407346.2711,62
22,3.008131071630377,2531,219614434288.02377,54
23,2.0020281392528516,392,1771222927108.7173,363
23,2.0020281392528516,0,1868095504992.8577,349
23,2.0020281392528516,764,1316787749022.7163,273
23,2.0020281392528516,1308,1186746403766.4072,212
23,2.0020281392528516,1024,1219763619881.0874,147
23,2.0020281392528516,1813,1020455462526.5955,143
23,2.0020281392528516,2267,755377946796.4539,140
23,2.0020281392528516,3171,525389561324.2597,128
23,2.0020281392528516,1580,886852268348.0099,117
23,2.0020281392528516,2056,873166232037.9421,104
23,2.0020281392528516,2673,670620793342.7312,88
23,2.0020281392528516,2484,395899716164.4386,85
23,2.0020281392528516,3773,351813596207.9924,76
23,2.0020281392528516,4375,233271371629.87863,71
23,2.0020281392528516,3271,506797433339.62164,67
23,2.0020281392528516,3868,351922245501.69727,65
23,2.0020281392528516,3022,575115557101.4309,63
23,2.0020281392528516,3372,451781284578.4757,60
23,2.0020281392528516,2849,632249817786.9371,58
23,2.0020281392528516,4129,296311103123.32697,51
24,1.4955121664955557,996,1958163938464.5916,393
24,1.4955121664955557,1407,1745281746249.8037,385
24,1.4955121664955557,2086,1531631431416.2073,308
24,1.4955121664955557,505,1637307954246.5107,231
24,1.4955121664955557,1777,1332795730881.5283,173
24,1.4955121664955557,2727,1300330634589.6677,168
24,1.4955121664955557,0,1419326991806.74,159
24,1.4955121664955557,1,519993942186.375,155
24,1.4955121664955557,4677,536330717033.5518,128
24,1.4955121664955557,2899,986925338364.2671,127
24,1.4955121664955557,3537,874434192112.6749,117
24,1.4955121664955557,4087,665294301860.2137,104
