snapshot,redshift,subhalo,is_central,group,subhalo_nbh,subhalo_mass_Msun
24,1.4955121664955557,2910,True,8,127,988494936146.2833
24,1.4955121664955557,3164,True,9,64,648701749054.3021
24,1.4955121664955557,3384,True,10,89,907851526082.6272
24,1.4955121664955557,3543,True,11,116,874447206365.6414
24,1.4955121664955557,3744,True,12,71,648400843750.8654
24,1.4955121664955557,3961,True,13,58,527739112864.14484
24,1.4955121664955557,4094,True,14,104,665336443250.7719
24,1.4955121664955557,4223,True,15,74,542851195802.2956
24,1.4955121664955557,4455,True,17,89,517116834521.9098
24,1.4955121664955557,4551,True,18,55,515040356939.2907
24,1.4955121664955557,4687,True,19,128,536290772854.53357
24,1.4955121664955557,4847,True,21,86,419489683490.12274
24,1.4955121664955557,5177,True,24,61,341215092821.393
24,1.4955121664955557,5546,True,28,52,270548741480.49817
24,1.4955121664955557,5839,True,33,77,252422506850.4323
25,0.9972942257819404,0,True,0,271,3433379879062.5923
25,0.9972942257819404,1,False,0,95,268951819401.12817
25,0.9972942257819404,682,True,1,186,2345382021125.249
25,0.9972942257819404,683,False,1,129,494820376897.45325
25,0.9972942257819404,684,False,1,76,168254403275.02515
25,0.9972942257819404,1234,True,2,466,2763876677651.0117
25,0.9972942257819404,1797,True,3,349,2857102898476.7295
25,0.9972942257819404,2384,True,4,428,2763859776023.782
25,0.9972942257819404,3010,True,5,327,2551504125835.941
25,0.9972942257819404,3546,True,6,194,1311313086608.1565
25,0.9972942257819404,3547,False,6,106,905647553891.9426
25,0.9972942257819404,3887,True,7,335,1737013808241.8354
25,0.9972942257819404,3888,False,7,57,515155907730.7808
25,0.9972942257819404,4276,True,8,133,1443146793093.3623
25,0.9972942257819404,4557,True,9,125,996421235929.1925
25,0.9972942257819404,4816,True,10,91,1039473286162.379
25,0.9972942257819404,5045,True,11,113,828727572306.8739
25,0.9972942257819404,5183,True,12,59,646728033365.2363
25,0.9972942257819404,5305,True,13,77,737418052347.7018
25,0.9972942257819404,5478,True,14,100,737642900328.6073
25,0.9972942257819404,5619,True,15,69,599320546472.6061
25,0.9972942257819404,5759,True,16,68,605576064065.1538
25,0.9972942257819404,5944,True,17,83,644340171470.2983
25,0.9972942257819404,6454,True,21,69,390269164408.0684
25,0.9972942257819404,7648,True,36,59,294675504486.9809
26,0.7001063537185233,0,True,0,541,4430765634518.996
26,0.7001063537185233,1,False,0,123,556752277149.476
26,0.7001063537185233,1193,True,1,330,3596750106439.6875
26,0.7001063537185233,1194,False,1,80,177760230545.9476
26,0.7001063537185233,1824,True,2,392,3329362532638.6196
26,0.7001063537185233,2379,True,3,334,2768398200967.361
26,0.7001063537185233,3037,True,4,455,3314749611091.3037
26,0.7001063537185233,3722,True,5,295,2736583704646.3086
26,0.7001063537185233,4204,True,6,346,2198619783373.6016
26,0.7001063537185233,4205,False,6,74,403266853779.84924
26,0.7001063537185233,4610,True,7,360,2633550483637.1333
26,0.7001063537185233,5068,True,8,149,1661033444453.194
26,0.7001063537185233,5357,True,9,105,1401448337846.203
26,0.7001063537185233,5681,True,10,66,859911468916.0055
26,0.7001063537185233,5845,True,11,118,941774162367.9744
26,0.7001063537185233,6001,True,12,89,813119764642.0914
26,0.7001063537185233,6135,True,13,83,687624224706.5841
26,0.7001063537185233,6443,True,15,80,740313582785.8468
26,0.7001063537185233,6569,True,16,66,697812638277.8462
26,0.7001063537185233,6725,True,17,99,741180917956.4906
26,0.7001063537185233,7314,True,22,68,430645715220.2551
26,0.7001063537185233,7460,True,24,53,355884268618.00323
26,0.7001063537185233,8322,True,35,58,320304061580.91205
27,0.5030475232448832,0,True,0,640,7875914905363.867
27,0.5030475232448832,1,False,0,455,2525264011530.1006
27,0.5030475232448832,2,False,0,138,820948204003.3438
27,0.5030475232448832,3,False,0,87,331926803577.5994
27,0.5030475232448832,2343,True,1,404,3783798837499.769
27,0.5030475232448832,2344,False,1,82,476487463535.7533
27,0.5030475232448832,2974,True,2,342,3276063814558.988
27,0.5030475232448832,3682,True,3,417,3455284838661.6636
27,0.5030475232448832,4250,True,4,316,3280048992904.5977
27,0.5030475232448832,4924,True,5,402,2875391135203.787
27,0.5030475232448832,5329,True,6,367,2880183535265.8623
27,0.5030475232448832,5776,True,7,112,1502911172330.7578
27,0.5030475232448832,6078,True,8,66,829880713993.9631
27,0.5030475232448832,6298,True,9,76,984956524147.0979
27,0.5030475232448832,6489,True,10,123,1042281209832.7195
27,0.5030475232448832,6661,True,11,63,917877515016.2169
27,0.5030475232448832,6878,True,12,84,784319110149.7886
27,0.5030475232448832,6983,True,13,102,804518526545.1638
27,0.5030475232448832,7265,True,15,83,732182491619.6774
27,0.5030475232448832,7392,True,16,51,644840628652.5543
27,0.5030475232448832,8084,True,21,67,456366386182.58527
27,0.5030475232448832,8342,True,24,51,459482933566.1305
27,0.5030475232448832,8431,True,25,51,440361925496.1128
27,0.5030475232448832,8672,True,28,51,337815358673.623
27,0.5030475232448832,9467,True,39,60,347712500868.969
28,0.3999269646135635,0,True,0,796,10495585096655.312
28,0.3999269646135635,1,False,0,445,1935231359929.9863
28,0.3999269646135635,2,False,0,69,299111533738.9291
28,0.3999269646135635,2393,True,1,435,4224298961967.859
28,0.3999269646135635,2394,False,1,60,273710838749.42596
28,0.3999269646135635,2989,True,2,359,3727786619507.2505
28,0.3999269646135635,3710,True,3,427,3366429829347.4697
28,0.3999269646135635,4172,True,4,335,3285853011695.0967
28,0.3999269646135635,4814,True,5,432,3010590857090.441
28,0.3999269646135635,5290,True,6,381,3032052543346.0483
28,0.3999269646135635,5793,True,7,121,1543802743893.9963
28,0.3999269646135635,6083,True,8,60,989365369948.5858
28,0.3999269646135635,6392,True,9,72,992000671666.1589
28,0.3999269646135635,6595,True,10,87,880941374934.665
28,0.3999269646135635,6776,True,11,82,1076577203063.5592
28,0.3999269646135635,6970,True,12,124,1074642530133.3928
28,0.3999269646135635,7351,True,14,82,734132995740.6818
28,0.3999269646135635,7458,True,15,52,703447978828.598
28,0.3999269646135635,7605,True,16,105,814498036003.8733
28,0.3999269646135635,8482,True,23,52,460556637605.24255
28,0.3999269646135635,8567,True,24,66,466137188714.3932
28,0.3999269646135635,8699,True,26,54,461887387225.1317
28,0.3999269646135635,9437,True,36,60,355637223166.6701
28,0.3999269646135635,9464,True,37,51,331409332090.5995
29,0.2977176845174465,0,True,0,872,12167740149857.85
29,0.2977176845174465,1,False,0,395,1244220725191.7644
29,0.2977176845174465,2,False,0,99,397684471661.08215
29,0.2977176845174465,2486,True,1,449,4651519365244.471
29,0.2977176845174465,2487,False,1,61,281469925100.2812
29,0.2977176845174465,3197,True,2,375,4087463387920.451
29,0.2977176845174465,3941,True,3,345,3476259081987.9814
29,0.2977176845174465,4528,True,4,427,3534369806017.275
29,0.2977176845174465,4995,True,5,377,3151159211850.17
29,0.2977176845174465,5535,True,6,432,2964410428334.6484
29,0.2977176845174465,5980,True,7,124,1568411963849.7358
29,0.2977176845174465,6248,True,8,64,1065318691133.6605
29,0.2977176845174465,6551,True,9,85,1035620503896.731
29,0.2977176845174465,6777,True,10,103,1293707675621.1577
29,0.2977176845174465,6970,True,11,89,1129325040773.0347
29,0.2977176845174465,7165,True,12,129,1093021697614.9432
29,0.2977176845174465,7332,True,13,51,853261016633.8694
29,0.2977176845174465,7558,True,14,55,814004621166.2963
29,0.2977176845174465,7689,True,15,84,757263548668.8981
29,0.2977176845174465,7774,True,16,106,830225845221.9829
29,0.2977176845174465,8557,True,22,65,504347824166.53973
29,0.2977176845174465,8635,True,23,56,483643668843.3438
29,0.2977176845174465,8785,True,25,57,475303448209.5921
29,0.2977176845174465,9769,True,38,60,366354319637.6608
29,0.2977176845174465,9798,True,39,52,352500788201.75195
30,0.19728418237600986,0,True,0,1166,14066647433967.01
30,0.19728418237600986,1,False,0,223,573274688202.3865
30,0.19728418237600986,2455,True,1,508,4940321751454.964
30,0.19728418237600986,3252,True,2,387,4237265439668.0234
30,0.19728418237600986,4042,True,3,352,3946524098781.799
30,0.19728418237600986,4742,True,4,438,3701878227805.1616
30,0.19728418237600986,5212,True,5,374,3251226986023.2285
30,0.19728418237600986,5779,True,6,439,3018282674964.924
30,0.19728418237600986,6188,True,7,131,1627554137850.068
30,0.19728418237600986,6406,True,8,88,1520872193554.6587
30,0.19728418237600986,6713,True,9,93,1201489805875.9321
30,0.19728418237600986,6924,True,10,128,1275284563908.8115
30,0.19728418237600986,6925,False,10,51,286254522244.45245
30,0.19728418237600986,7179,True,11,107,1343514517515.242
30,0.19728418237600986,7418,True,12,89,1158146709621.8591
30,0.19728418237600986,7612,True,13,51,901303103290.1978
30,0.19728418237600986,8065,True,15,58,901941759444.4309
30,0.19728418237600986,8239,True,16,81,794706117840.9935
30,0.19728418237600986,8323,True,17,103,863645827113.5344
30,0.19728418237600986,8856,True,21,64,542649108679.3921
30,0.19728418237600986,9090,True,24,58,500855947980.992
30,0.19728418237600986,9169,True,25,55,505158651563.4807
30,0.19728418237600986,10153,True,38,60,376430985283.5593
31,0.09940180263022191,0,True,0,1373,15422349940232.24
31,0.09940180263022191,2571,True,1,507,4997776917702.795
31,0.09940180263022191,3374,True,2,359,4082525859219.2344
31,0.09940180263022191,3375,False,2,60,379855733839.62854
31,0.09940180263022191,4112,True,3,391,4245001877838.3916
31,0.09940180263022191,4907,True,4,443,3866830898200.9673
31,0.09940180263022191,5394,True,5,378,3410242227450.9395
31,0.09940180263022191,5977,True,6,443,3077445581627.9907
31,0.09940180263022191,6344,True,7,140,1744782697536.4836
31,0.09940180263022191,6601,True,8,90,1657972559761.9905
31,0.09940180263022191,6944,True,9,134,1505490022613.3855
31,0.09940180263022191,7207,True,10,100,1406056735526.51
31,0.09940180263022191,7426,True,11,111,1314581523281.7346
31,0.09940180263022191,7658,True,12,85,1166540733768.9573
31,0.09940180263022191,7848,True,13,55,986442064503.0276
31,0.09940180263022191,8296,True,15,58,1013448160554.8939
31,0.09940180263022191,8923,True,18,82,832502607087.2678
